"REF_DATE","GEO","DGUID","Age group","Sex","Domains","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Seeing","Number of persons","Number","223","units","0","v1200113301","1.1.1.1.1","27100","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Seeing","Percent","Percent","239","units","0","v1200113304","1.1.1.1.4","0.54","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Hearing","Number of persons","Number","223","units","0","v1200113307","1.1.1.2.1","8500","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Hearing","Percent","Percent","239","units","0","v1200113310","1.1.1.2.4","0.17","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Walking","Number of persons","Number","223","units","0","v1200113313","1.1.1.3.1","47000","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Walking","Percent","Percent","239","units","0","v1200113316","1.1.1.3.4","0.93","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Self-care","Number of persons","Number","223","units","0","v1200113319","1.1.1.4.1","30100","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Self-care","Percent","Percent","239","units","0","v1200113322","1.1.1.4.4","0.60","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Communication","Number of persons","Number","223","units","0","v1200113325","1.1.1.5.1","52000","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Communication","Percent","Percent","239","units","0","v1200113328","1.1.1.5.4","1.03","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Learning","Number of persons","Number","223","units","0","v1200113331","1.1.1.6.1","136000","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Learning","Percent","Percent","239","units","0","v1200113334","1.1.1.6.4","2.70","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Remembering","Number of persons","Number","223","units","0","v1200113337","1.1.1.7.1","103400","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Remembering","Percent","Percent","239","units","0","v1200113340","1.1.1.7.4","2.10","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Concentrating","Number of persons","Number","223","units","0","v1200113343","1.1.1.8.1","48700","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Concentrating","Percent","Percent","239","units","0","v1200113346","1.1.1.8.4","0.97","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Accepting change","Number of persons","Number","223","units","0","v1200113349","1.1.1.9.1","225900","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Accepting change","Percent","Percent","239","units","0","v1200113352","1.1.1.9.4","4.50","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Controlling behaviour","Number of persons","Number","223","units","0","v1200113355","1.1.1.10.1","167200","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Controlling behaviour","Percent","Percent","239","units","0","v1200113358","1.1.1.10.4","3.30","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Making friends","Number of persons","Number","223","units","0","v1200113361","1.1.1.11.1","163600","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Making friends","Percent","Percent","239","units","0","v1200113364","1.1.1.11.4","3.30","","","","2"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Anxiety","Number of persons","Number","223","units","0","v1200113367","1.1.1.12.1","257700","","","","0"
"2019","Canada","2011A000011124","Total, 5 to 17 years","Both sexes","Anxiety","Percent","Percent","239","units","0","v1200113370","1.1.1.12.4","5.10","","","","2"
